축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
2025 논산딸기축제,논산시민가족공원,2025-03-27,2025-03-30,전국 최고의 논산청정딸기를 널리 알리고 논산을 찾은 관광객들에게 청정딸기와 자연을 마음껏 느끼고 체험할 수 있는 기회를 제공,논산문화관광재단,충청남도 논산시,문화체육관광부+충청남도청+건양대학교+농협,041-746-5663,https://www.nonsan.go.kr/nsfestival/,육군항공학교와 함께하는 헬기 탑승 체험+헬기 전시 체험 프로그램+먹거리+볼거리+즐길거리 진행,충청남도 논산시 체육로 110 논산시민운동장,충청남도 논산시 관촉동 339-1,36.1956342,127.1056486,2026-05-12
제28회 보령머드축제,대천해수욕장,2025-07-25,2025-08-10,머드체험존 등 체험행사+전시판매 홍보행사+공연행사 등,(재)보령축제관광재단,충청남도 보령시,한국관광공사+충청남도 보령시,041-930-1525,http://www.mudfestival.or.kr,,충청남도 보령시 머드로 123,충청남도 보령시 신흑동 2267-3,36.3155401,126.5108563,2026-04-03
천안흥타령춤축제,천안종합운동장 일원,2025-09-24,2025-09-28,춤경연대회(전국춤경연대회+국제춤 대회+거리퍼레이드 등)+전시홍보 부스운영(중소기업제품판매+천안 농산물 홍보 및 체험한마당 등)+부대체험행사,천안문화재단,천안문화재단,,041-900-7020,,,충청남도 천안시 서북구 번영로 208,,36.81910075,127.1133052,2026-01-21
2025 괴산고추축제,유기농엑스포광장+종합운동장 등,2025-09-04,2025-09-07,"Hotter & Cooler 더 뜨겁고 더 차갑게(농특산물, 다양한 체험거리, 볼거리, 먹거리 등)",충청북도 괴산군청,충청북도 괴산군청,충청북도 괴산군청,043-830-3462,,,충청북도 괴산군 괴산읍 임꺽정로 75,,,,2025-12-23
제56회 영동난계국악축제,레인보우힐링관광지,2025-09-12,2025-10-11,퍼레이드+숭모제+국악기체험 등,(재)영동축제관광재단+(사)난계기념사업회,충청북도 영동군,,043-745-8916,,,충청북도 영동군 영동읍 동정로 1,,,,2025-12-07
제26회 음성품바축제,음성 설성공원 및 꽃동네 일원,2025-06-11,2025-06-15,"최귀동 할아버지의 박애정신과 사랑, 나눔, 봉사를 통하여 아름다운 사회를 구현하고자 하는 정신문화축제",음성품바축제 기획실무위원회,"음성군 축제추진위원회, 음성예총",문화체육관광부+충청북도+충청북도 음성군+음성꽃동네,043-873-2241,https://www.pumba.kr/,,충청북도 음성군 음성읍 설성공원길 28,충청북도 음성군 음성읍 읍내리 817-242,36.93278537,127.6910226,2025-11-04
